candidate_index,name,actor_network,critic_network,lr_start,lr_end,n_steps,batch_size,n_epochs,gamma,gae_lambda,clip_start,clip_end,ent_coef,vf_coef,max_grad_norm,target_kl,clip_range_vf
1,auto_448,"[64, 64]","[64, 64]",0.0006245435660436964,2.7503355208453628e-05,1024,64,10,0.9890555593574961,0.914895434922753,0.236640117249551,0.12272053619766307,0.03326248168747035,0.5,0.5,0.013258283713613544,
2,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,
3,auto_138,"[64, 64]","[128, 128]",0.0007262635909625315,5.3304802439987826e-05,256,64,8,0.9900757075487362,0.9191551905508695,0.31322072299055664,0.08936037662852556,0.028343529607694647,0.5,0.5,,
4,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,
5,auto_098,"[64, 64]","[64, 64]",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5,,
6,auto_099,"[128, 128]","[128, 128]",0.00029267995456034836,3.8862517346673336e-05,1024,64,10,0.991791938092433,0.9095526079322096,0.25808645998611496,0.11848356372889815,0.05743360182820927,0.5,0.5,0.02653174829025068,
7,auto_421,"[64, 64]","[128, 128]",0.0003323949229958681,3.130386428773952e-05,512,64,5,0.990109366279946,0.901723706450002,0.2053147959855876,0.07709934159862007,0.0654101984056697,0.5,0.5,0.009248103225853208,
8,auto_359,"[64, 64]","[64, 64]",0.0003790356687552224,6.287029567600739e-05,256,64,8,0.9956781649896798,0.9121501979348245,0.19743427209690612,0.08354311267106172,0.0320270049103265,0.5,0.5,0.03196577497022432,
